ID,Marca temporal,Autorizo,SEXO,GÉNERO,TERRITORIO O ZONA RESIDENCIA,MACROZONA,AÑO DE NACIMIENTO,ACTIVIDAD PRINCIPAL,TIPO DE INSTITUCIÓN DE DESEMPEÑO PRINCIPAL,ÁREA DE DESEMPEÑO I (OPCIONAL),ÁREA DE DESEMPEÑO II (OPCIONAL),P1 TRANSCRIPCIÓN: ¿Por qué cree ud. que Chile necesita una política de igualdad de género en CTCI?,P1 TOTAL_Sí cree que Chile necesita una política de género,P1 TOTAL_No cree que Chile necesita una política de género,P1 TOTAL_No sabe si Chile necesita una política de género,"P1 Sí, Otros",P1 Desarrollo,P1 Es un aporte a la generación de conocimiento,P1 Hombres y mujeres deben tener mismas oportunidades,P1 Falta inserción femenina,P1 Porque existe desigualdad de género,P1 Se necesita diversidad de género,P1 Para eliminar las brechas de género,P1 Generará mayor equidad,P1 Iría en beneficio de la sociedad,"P1 No, Otros",P1 Diferencia en accesos a estudios superiores,P1 No se necesita una política de igualdad de género,P1 Es ofensivo para las mujeres,P1 No sé,"P2 TRANSCRIPCIÓN: ¿Qué medidas cree usted que garantizan el acceso, el desarrollo y el liderazgo de mujeres en el sistema CTCI?",P2 Oportunidades para niñas y jóvenes,P2 Apoyo en roles femineizados,P2 Paridad / igualdad,P2 Potenciar desde la educación,P2 Derribar estereotipos,P2 Incorporar una perspectiva de género a más ámbitos,P2 Promover participación de mujeres en ciencias/investigación,P2 Cupos / cuotas de género / acciones afirmativas,P2 Transformar la cultura alrededor del género,P2 Proteger el ambiente laboral,P2 Evaluación ciega y transparente,"P3 TRANSCRIPCIÓN: Respecto al Eje 2, ¿de qué manera se podría incorporar la perspectiva de género en su disciplina o área de desempeño?",P3 Estudiar temas de género,P3 Potenciar desde la educación,P3 Promover participación de mujeres en ciencias e Investigación,P3 Paridad / igualdad,P3 Incorporar una perspectiva de género,P3 Reconocer y disminuir la brecha de género,P3 Fomentar la participación femenina a través de la formulación y evaluación de proyectos,P3 Reconocer la historia de la temática de género en la ciencia,P3 La investigación no debe estar ligada al género,P3 No aplica en mi disciplina,"P4 TRANSCRIPCIÓN: Teniendo en cuenta el Eje 3, ¿qué acciones debería adoptar su institución  y otras instituciones del sistema de CTCI  para garantizar una  política de igualdad de género efectiva?",P4 Apoyo en roles femineizados,P4 Paridad / igualdad,P4 Promover liderazgos femeninos,P4 Potenciar desde la educación,P4 Estudiar temas de género,P4 Cupos / cuotas de género,P4 Combatir la discriminación y violencia de género,P4 Promover participación de mujeres en ciencias/Investigación,P4 La investigación no debe estar ligada al género,P4 Evaluación ciega y transparente
1,12/16/2020 22:26:51,"Sí, autorizo.",Prefiero no responder,que te importa,Extranjero,Extranjero,1994,"Emprendimiento de base científico-tecnológico, No lo se, no se si alguien lo sabe",hola lola,Ciencias Naturales y Exactas,Biología,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
2,12/16/2020 22:42:37,"Sí, autorizo.",Hombre,Masculino,V de Valparaíso,Centro,1963,Investigación y desarrollo (I+D),Universidad,Ingeniería y Tecnología,Diseño y Manufactura,por politica,TRUE,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Formacion desde etapas tempranas sobre igualdad de responsabilidades y tareas,-,-,-,TRUE,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,Fomentar el acceso de mujeres a formacion tecnica,-,TRUE,-,-,-,-,-,-,-,-
3,12/17/2020 8:48:05,"Sí, autorizo.",Hombre,Masculino,Metropolitana,RM,1990,"Investigación y desarrollo (I+D), Gestión pública de la I+D",Otra institución Pública relacionada con CTCI,Ciencias Naturales y Exactas,Geología,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yo que se no soy cientifico,-,-,-,-,-,-,-,-,-,-,-,yo que se no soy cientifico,-,-,-,-,-,-,-,-,-,-,yo que se no soy cientifico,-,-,-,-,-,-,-,-,-,-
5,12/17/2020 10:31:04,"Sí, autorizo.",Mujer,Femenino,VIII del Biobío,Centro Sur,1984,"Investigación y desarrollo (I+D), Divulgación/comunicación científica",Universidad,Ciencias Sociales,Educación,Brindar oportunidades restitutivas de desigualdades estructurales en la educación nacional,TRUE,-,-,-,-,-,TRUE,TRUE,TRUE,-,-,-,-,-,-,-,-,-,Cuotas de genero y meritos que consideren diferencias entre trayectorias vitales,-,-,-,-,-,-,-,TRUE,-,-,-,Favoreciendo nucleos de investigacion sobre la tematica y soluciones para participar en instancias de investigacion y desarrollo con familia  congreso  pasantias cortas  etc  ,TRUE,-,TRUE,-,-,-,-,-,-,-,Flexibilidad horaria para padres y madres de hijos pequeños  acceso garantizado a instancias formativas a traves de apoyo en el cuidado  formacion y visualizacion permanente de formas de respeto entre personas para eliminar el acoso y otras formas de violencia hacia el genero femenino ,TRUE,TRUE,-,-,-,-,TRUE,-,-,-
6,12/17/2020 10:33:58,"Sí, autorizo.",Mujer,Femenino,VIII del Biobío,Centro Sur,1971,"Investigación y desarrollo (I+D), Transferencia tecnológica",Universidad,Ingeniería y Tecnología,computación,para construir una sociedad justa,TRUE,-,-,-,-,-,-,-,-,-,-,TRUE,TRUE,-,-,-,-,-,"paridad en los profesores  mas parvularios  mas profesoras de ciencia   Solo educacion mixta y laica  religion opcion personal de cada NNA 
Modelos de rol  castigo a publicidad sexista  Acceso universal de NNA a tecnologia",-,-,TRUE,TRUE,-,-,-,-,-,-,-,"identificar el sesgo de genero en los datos y acceso a tecnologia de la informacion  proveer material educativo de mi disciplina que no sea sexista  proveer fondos publicos concursables que permitan fomentar el desarrollo de programas de I+D+i+e con perspectiva de genero 
Utilizar indicadores de equidad en los polinomios de acreditacion y evaluacion de proyectos",-,TRUE,-,TRUE,TRUE,-,TRUE,-,-,-,definir sistemas de seguimiento  control de gestion y accountability  de indicadores de igualdad de genero  acciones afirmativas para mujeres en areas sub representadas ,-,TRUE,-,-,-,-,-,-,-,-
7,12/17/2020 10:40:28,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1981,"Investigación y desarrollo (I+D), Divulgación/comunicación científica",Universidad,Ciencias Sociales,Didáctica de las ciencias experimentales ,"Para eliminar brechas y obstáculos que dificultan la carrera académica de las mujeres. Erradicar malas prácticas, machistas, que aún existen en nuestras instituciones. Promover mayores y mejores oportunidades para que las mujeres se desempeñen en ambientes seguros y bajo estándares propios, no tratando de competir o medirse por estandares hechos para hombres que viven otra realidad.",TRUE,-,-,-,-,-,TRUE,TRUE,TRUE,-,TRUE,-,-,-,-,-,-,-,Una evaluacion sin sesgos  por ejemplo  evaluacion ciega de proyectos y becas  Ademas  crear instrumentos solo para mujeres  para nivelar la cancha  Finalmente  promover I + D centrada en tematicas acerca de la mujer  pueden participar hombres por supuesto  pero investigando acerca de la mujer como foco ,-,-,-,-,-,-,TRUE,TRUE,-,-,TRUE,Promover investigacion exclusiva para y sobre mujeres  Dar cuotas especiales para concursos academicos y becas  Asegurar cuotas equitativas para proyectos como Fondecyt ,-,-,TRUE,-,-,-,TRUE,-,-,-,Primero  diagnosticar acerca de las brechas  hacerlas visibles y generar conciencia en torno a ellas  Luego  abrir concursos academicos solo para mujeres  Desarrollar politica de genero y protocolos que sancionen el acoso sexual  Existe un proyecto de ley sobre esto que lleva años en el congreso  El Min CTCI deberia presionar para que pronto vea la luz porque es un insumo valioso para las instituciones que hasta ahora quedan atadas de mano aplicando solo sumarios o sanciones menores en estos casos  Finalmente dar mas importancia a la divulgacion y visibilizacion de mujeres  y su investigacion  ,-,TRUE,-,-,-,TRUE,TRUE,TRUE,-,-
8,12/17/2020 10:41:03,"Sí, autorizo.",Mujer,Femenino,VIII del Biobío,Centro Sur,1978,Investigación y desarrollo (I+D),Universidad,Ciencias Sociales,Bienestar de los trabajadores/as e Intergeneracionalidad,Es por la necesidad de equidad ,TRUE,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,Considerar plazos flexibles para la entrega de evaluaciones de los proyectos y mantener equidad en la adjudicacion de fondos ,-,-,TRUE,-,-,-,-,-,-,-,-,Es necesario hablar y educar sobre genero  eso como lo primero y despues y generar diferentes mirada de la perspectiva de genero ,-,TRUE,-,-,TRUE,-,-,-,-,-,Generar observatorios de genero ,-,-,-,-,TRUE,-,-,-,-,-
9,12/17/2020 10:44:10,"Sí, autorizo.",Mujer,Femenino,VIII del Biobío,Centro Sur,1983,"Investigación y desarrollo (I+D), Transferencia tecnológica",Universidad,Ciencias Naturales y Exactas,,Porque los porcentajes de participación de las mujeres es muy bajo en estas áreas y necesitamos que todos estén representados,TRUE,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,La formacion en estas tematicas y un apoyo familiar importante ya que muchas mujeres no participan mas en estas instancias de liderazgo porque tienen una carga de trabajo y en sus hogares,-,-,-,-,-,-,TRUE,-,-,-,-,En un principio creo que puede ser a traves de formacion a toda la comunidad universitaria en esta tematicas a traves de cursos obligatorios dentro de los planes de estudio o de formacion para docentes y directivos ,TRUE,-,-,-,-,-,-,-,-,-,Creo que en un principio puede ser a traves de cuotas e incentivos hasta que se logre equiparar los numeros,-,-,-,-,-,TRUE,-,TRUE,-,-
10,12/17/2020 10:45:19,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1944,"Investigación y desarrollo (I+D), Divulgación/comunicación científica",Organización no gubernamental (ONG),Ciencias Sociales,Antropologia,"Mujeres y hombres debemos comprender y reconocer las
problemáticas asociadas a la discriminación y a las desigualdades de género
que persisten en nuestra sociedad, para entonces poder resolverlas. Por ello, el
cambio cultural debe iniciarse desde niños y niñas, y debe incorporar también a los
hombres y las masculinidades, con la convicción de que esta nueva dirección nos
beneficia a todas y a todos, y particularmente al conocimiento que construimos.
Asimismo, debe promover el empoderamiento y la visibilidad de las mujeres en la
investigación y desarrollo.",TRUE,-,-,-,TRUE,TRUE,-,-,TRUE,-,-,-,TRUE,-,-,-,-,-,"Debemos instalar en todas las areas del saber la necesidad y valor de incorporar la
perspectiva de genero en como se hace investigacion  como se transfiere y como
se aplica el conocimiento",-,-,-,-,-,TRUE,-,-,-,-,-,"No solo el estado debe reforzar su institucionalidad en materia de genero
tambien deben hacerlo las instituciones generadoras de I+D+i  Universidades  Centros
de I+D  Institutos publicos  empresas innovadoras  ONGs  etc  Esto significa instalar
en el sistema una perspectiva transversal de genero de manera de dotarlas de
capacidades para recoger de forma fiel las brechas existentes  aplicar medidas para
corregirlas y monitorear la efectividad de estas ",-,TRUE,-,-,TRUE,TRUE,-,-,-,TRUE,"Nuestro sistema de generacion de conocimiento debe fomentar investigacion que
nos permita entender las brechas de genero y desigualdades  los mecanismos que
las alimentan  sus consecuencias y como abordarlas ",-,-,-,-,TRUE,-,-,-,-,-
11,12/17/2020 10:46:19,"Sí, autorizo.",Hombre,Masculino,VIII del Biobío,Centro Sur,1981,"Investigación y desarrollo (I+D), Divulgación/comunicación científica",Universidad,Ciencias Naturales y Exactas,,Necesitaba una hace 40 años,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Concursos para solo mujeres   Posiciones  fondos concursables etc  ,-,-,-,-,-,-,-,TRUE,-,-,-,Mas mujeres cientificas ,-,-,-,-,-,-,-,-,-,-,"La institucion promociona informalmente una cantidad de horas muy excesivas para sus cientifices  El  honor  de trabajar mas que 80 horas semanales esta mayormente promocionado por hombres mas viejos  abiertamente en reuniones de trabajo etc   y perjudica sobre todos mujeres  especialmente las mas jovenes con niños chicos etc 

Esto deberia cambiar ",-,-,-,-,-,-,-,-,-,-
