timestamp,count,uniques

2021-10-07,4,1
2021-10-08,4,1
2021-10-12,1,1
2021-10-13,1,1
2021-10-14,5,2
2021-10-15,4,4
2021-10-18,1,1
2021-10-19,2,1
2021-10-06,2,1
2021-10-07,4,2
2021-10-08,2,2
2021-10-10,3,2
2021-10-11,2,2
2021-10-12,4,4
2021-10-14,8,2
2021-10-15,11,2
2021-10-19,4,3
2021-10-06,1862,266
2021-10-07,2574,370
2021-10-08,1907,316
2021-10-09,875,154
2021-10-10,1014,166
2021-10-11,1466,249
2021-10-12,2310,388
2021-10-13,2149,374
2021-10-14,2177,367
2021-10-15,1467,295
2021-10-16,1436,182
2021-10-17,1477,260
2021-10-18,3497,581
2021-10-19,2261,377
2021-10-20,266,64
2021-10-06,16,2
2021-10-07,14,4
2021-10-08,10,4
2021-10-10,4,1
2021-10-11,5,2
2021-10-12,4,3
2021-10-13,3,3
2021-10-14,3,2
2021-10-15,8,4
2021-10-16,4,3
2021-10-18,1,1
2021-10-19,10,3
2021-10-08,6,1
2021-10-10,1,1
2021-10-12,13,2
2021-10-14,22,4
2021-10-15,4,3
2021-10-18,18,3
2021-10-19,16,3
2021-10-20,4,2
