timestamp,count,uniques
2021-01-27,190,44
2021-01-28,3794,524
2021-01-29,3208,436
2021-01-30,2941,356
2021-01-31,2801,420
2021-02-01,2993,513
2021-02-02,2500,460
2021-02-03,2502,457
2021-02-04,2714,486
2021-02-05,1656,358
2021-02-06,1586,282
2021-02-07,1513,330
2021-02-08,2527,530
2021-02-09,1898,362
2021-02-10,2188,395
2021-02-11,2119,401
2021-02-12,1365,282
2021-02-13,1219,239
2021-02-14,1207,223
2021-02-15,2386,385
2021-02-16,2348,332
2021-02-17,2114,346
2021-02-18,2302,406
2021-02-19,1723,304
2021-02-20,1250,245
2021-02-21,1483,243
2021-02-22,2370,419
2021-02-23,1928,353
2021-02-24,2308,361
2021-02-25,2519,403
2021-02-26,1290,297
2021-02-27,1108,196
2021-02-28,1421,275
2021-03-01,3191,522
2021-03-02,2019,400
2021-03-03,2705,436
2021-03-04,3037,473
2021-03-05,2256,421
2021-03-06,1599,320
2021-03-07,2124,416
2021-03-08,3718,605
2021-03-09,2705,492
2021-03-10,3010,541
2021-03-11,4112,599
2021-03-12,2713,472
2021-03-13,2821,377
2021-03-14,2360,440
2021-03-15,3798,748
2021-03-16,4049,603
2021-03-17,3859,711
2021-03-18,5001,956
2021-03-19,3225,602
2021-03-20,2896,626
2021-03-21,3950,702
2021-03-22,6562,1120
2021-03-23,5017,826
2021-03-24,4416,767
2021-03-25,5830,812
2021-03-26,4246,629
2021-03-27,2999,483
2021-03-28,4360,654
2021-03-29,6197,1030
2021-03-30,6702,902
2021-03-31,5871,859
2021-04-01,5198,812
2021-04-02,3753,618
2021-04-03,3873,652
2021-04-04,3827,624
2021-04-05,5976,960
2021-04-06,5592,887
2021-04-07,5696,972
2021-04-08,5432,1002
2021-04-09,5806,1113
2021-04-10,3516,637
2021-04-11,3842,687
2021-04-12,5949,943
2021-04-13,6032,838
2021-04-14,5618,911
2021-04-15,6501,962
2021-04-16,5208,807
2021-04-17,3038,500
2021-04-18,4218,719
2021-04-19,5501,935
2021-04-20,4620,688
2021-04-21,4910,833
2021-04-22,5382,885
2021-04-23,4547,707
2021-04-24,3516,511
2021-04-25,3675,582
2021-04-26,4782,821
2021-04-27,3973,680
2021-04-28,4730,755
2021-04-29,4298,717
2021-04-30,3222,586
2021-05-01,2980,419
2021-05-02,2682,503
2021-05-03,4207,745
2021-05-04,3289,629
2021-05-05,4928,693
2021-05-06,4934,738
2021-05-07,3393,557
2021-05-08,2730,359
2021-05-09,2213,385
2021-05-10,4475,697
2021-05-11,3717,566
2021-05-12,4444,636
2021-05-13,4153,728
2021-05-14,3219,520
2021-05-15,1940,353
2021-05-16,3083,409
2021-05-17,4479,567
2021-05-18,3812,505
2021-05-19,3751,585
2021-05-20,4737,633
2021-05-21,2843,442
2021-05-22,2629,398
2021-05-23,3737,562
2021-05-24,4680,856
2021-05-25,3890,670
2021-05-26,4545,668
2021-05-27,4950,694
2021-05-28,4882,651
2021-05-29,3161,480
2021-05-30,4197,565
2021-05-31,6277,897
2021-06-01,3484,621
2021-06-02,3795,630
2021-06-03,4422,754
2021-06-04,3223,532
2021-06-05,1877,370
2021-06-06,2601,463
2021-06-07,5472,805
2021-06-08,3439,633
2021-06-09,3052,586
2021-06-10,4782,749
2021-06-11,3653,589
2021-06-12,2808,393
2021-06-13,2353,376
2021-06-14,3657,628
2021-06-15,3332,562
2021-06-16,4090,694
2021-06-17,4176,614
2021-06-18,2849,450
2021-06-19,2698,344
2021-06-20,2320,352
2021-06-21,2607,448
2021-06-22,4633,626
2021-06-23,4656,606
2021-06-24,3997,630
2021-06-25,2750,519
2021-06-26,2410,336
2021-06-27,3016,519
2021-06-28,3570,522
2021-06-29,3854,589
2021-06-30,3646,562
2021-07-01,4858,640
2021-07-02,3836,543
2021-07-03,2334,344
2021-07-04,2973,424
2021-07-05,5624,665
2021-07-06,5392,591
2021-07-07,3769,554
2021-07-08,4782,721
2021-07-09,3657,708
2021-07-10,2225,460
2021-07-11,2823,387
2021-07-12,3721,552
2021-07-13,3108,483
2021-07-14,2595,467
2021-07-15,3290,522
2021-07-16,1388,282
2021-07-17,1539,280
2021-07-18,1421,272
2021-07-19,512,118
2021-07-22,1849,316
2021-07-23,2500,334
2021-07-24,1611,363
2021-07-25,1738,377
2021-07-26,2655,466
2021-07-27,2189,408
2021-07-28,2619,461
2021-07-29,3253,467
2021-07-30,2428,363
2021-07-31,1558,234
2021-08-01,1696,258
2021-08-02,2903,443
2021-08-03,2517,381
2021-08-04,2917,400
2021-08-05,3318,460
2021-08-06,2468,347
2021-08-07,1461,236
2021-08-08,1976,263
2021-08-09,5052,532
2021-08-10,4038,477
2021-08-11,4237,451
2021-08-12,3508,470
2021-08-13,3321,427
2021-08-14,1742,257
2021-08-15,1667,332
2021-08-16,3205,520
2021-08-17,2287,405
2021-08-18,2914,430
2021-08-19,2790,557
2021-08-20,1724,353
2021-08-21,1465,256
2021-08-22,2093,379
2021-08-23,3102,523
2021-08-24,2064,427
2021-08-25,2869,458
2021-08-26,3385,480
2021-08-27,1943,391
2021-08-28,1202,216
2021-08-29,1555,242
2021-08-30,2652,438
2021-08-31,2127,336
2021-09-01,2048,381
2021-09-02,2451,409
2021-09-03,1620,311
2021-09-04,886,194
2021-09-05,1021,210
2021-09-06,2879,445
2021-09-07,3487,412
2021-09-08,5802,494
2021-09-09,5797,539
2021-09-10,2866,356
2021-09-11,1079,210
2021-09-12,1048,216
2021-09-13,2273,388
2021-09-14,2599,371
2021-09-15,1746,334
2021-09-16,1733,325
2021-09-17,802,169
2021-09-18,1086,316
2021-09-19,1389,361
2021-09-20,2646,443
2021-09-21,2025,352
2021-09-22,2269,395
2021-09-23,2367,372
